code,name,theme
000636.SZ,风华高科,MLCC/Passives
000657.SZ,中钨高新,Other
000725.SZ,京东方Ａ,Panel/Glass Substrate
000988.SZ,华工科技,Optical/CPO
001309.SZ,德明利,Memory
002008.SZ,大族激光,Semi Equipment
002049.SZ,紫光国微,Compute Chips
002050.SZ,三花智控,Cooling/Power/Connector
002079.SZ,苏州固锝,MLCC/Passives
002080.SZ,中材科技,CCL/Fiberglass/Resin
002130.SZ,沃尔核材,Copper Foil/Connect
002138.SZ,顺络电子,MLCC/Passives
002156.SZ,通富微电,Other Optical/OSAT
002179.SZ,中航光电,Cooling/Power/Connector
002261.SZ,拓维信息,Software/Ecosystem
002281.SZ,光迅科技,Optical/CPO
002384.SZ,东山精密,PCB/Substrate
002409.SZ,雅克科技,Semi Materials
002428.SZ,云南锗业,MLCC/Passives
002436.SZ,兴森科技,PCB/Substrate
002463.SZ,沪电股份,PCB/Substrate
002475.SZ,立讯精密,Cooling/Power/Connector
002484.SZ,江海股份,MLCC/Passives
002636.SZ,金安国纪,CCL/Fiberglass/Resin
002837.SZ,英维克,Cooling/Power/Connector
002851.SZ,麦格米特,Cooling/Power/Connector
002859.SZ,洁美科技,PCB/Substrate
002916.SZ,深南电路,PCB/Substrate
002938.SZ,鹏鼎控股,PCB/Substrate
300054.SZ,鼎龙股份,Semi Materials
300124.SZ,汇川技术,Cooling/Power/Connector
300236.SZ,上海新阳,Semi Materials
300285.SZ,国瓷材料,Semi Materials
300308.SZ,中际旭创,Optical/CPO
300319.SZ,麦捷科技,MLCC/Passives
300339.SZ,润和软件,Software/Ecosystem
300346.SZ,南大光电,Semi Materials
300394.SZ,天孚通信,Optical/CPO
300395.SZ,菲利华,Semi Materials
300408.SZ,三环集团,MLCC/Passives
300475.SZ,香农芯创,Memory
300476.SZ,胜宏科技,PCB/Substrate
300499.SZ,高澜股份,Cooling/Power/Connector
300502.SZ,新易盛,Optical/CPO
300570.SZ,太辰光,Optical/CPO
300576.SZ,容大感光,PCB/Substrate
300604.SZ,长川科技,Semi Equipment
300620.SZ,光库科技,Optical/CPO
300628.SZ,亿联网络,Other
300672.SZ,国科微,Compute Chips
300776.SZ,帝尔激光,Semi Equipment
300811.SZ,铂科新材,MLCC/Passives
300842.SZ,帝科股份,Other
300857.SZ,协创数据,Software/Ecosystem
301018.SZ,申菱环境,Cooling/Power/Connector
301165.SZ,锐捷网络,Software/Ecosystem
301200.SZ,大族数控,Semi Equipment
301217.SZ,铜冠铜箔,Copper Foil/Connect
301236.SZ,软通动力,Software/Ecosystem
301308.SZ,江波龙,Memory
301377.SZ,鼎泰高科,PCB/Substrate
301389.SZ,隆扬电子,PCB/Substrate
301396.SZ,宏景科技,Other
301511.SZ,德福科技,Copper Foil/Connect
600176.SH,中国巨石,CCL/Fiberglass/Resin
600183.SH,生益科技,CCL/Fiberglass/Resin
600330.SH,天通股份,MLCC/Passives
600367.SH,红星发展,Semi Materials
600487.SH,亨通光电,Other Optical/OSAT
600522.SH,中天科技,Copper Foil/Connect
600552.SH,凯盛科技,Panel/Glass Substrate
600563.SH,法拉电子,MLCC/Passives
600584.SH,长电科技,Other Optical/OSAT
600601.SH,方正科技,Software/Ecosystem
600707.SH,彩虹股份,Panel/Glass Substrate
600869.SH,远东股份,Copper Foil/Connect
601208.SH,东材科技,CCL/Fiberglass/Resin
601689.SH,拓普集团,Cooling/Power/Connector
603002.SH,宏昌电子,CCL/Fiberglass/Resin
603083.SH,剑桥科技,Optical/CPO
603186.SH,华正新材,CCL/Fiberglass/Resin
603228.SH,景旺电子,CCL/Fiberglass/Resin
603256.SH,宏和科技,CCL/Fiberglass/Resin
603267.SH,鸿远电子,MLCC/Passives
603290.SH,XD斯达半,Other
603618.SH,杭电股份,PCB/Substrate
603678.SH,火炬电子,MLCC/Passives
603773.SH,沃格光电,Panel/Glass Substrate
603936.SH,博敏电子,CCL/Fiberglass/Resin
603986.SH,兆易创新,Memory
605376.SH,博迁新材,MLCC/Passives
605589.SH,圣泉集团,Semi Materials
688008.SH,澜起科技,Memory
688012.SH,中微公司,Semi Equipment
688017.SH,绿的谐波,Other Optical/OSAT
688037.SH,芯源微  ,Semi Equipment
688041.SH,海光信息,Compute Chips
688048.SH,长光华芯,Optical/CPO
688072.SH,拓荆科技,Semi Equipment
688082.SH,盛美上海,Semi Equipment
688106.SH,金宏气体,Semi Materials
688141.SH,杰华特  ,Panel/Glass Substrate
688146.SH,中船特气,Cooling/Power/Connector
688182.SH,灿勤科技,Optical/CPO
688187.SH,时代电气,Compute Chips
688195.SH,腾景科技,Optical/CPO
688256.SH,寒武纪  ,Compute Chips
688261.SH,东微半导,Compute Chips
688268.SH,华特气体,Semi Materials
688300.SH,联瑞新材,Semi Materials
688313.SH,仕佳光子,Optical/CPO
688359.SH,三孚新科,Semi Equipment
688362.SH,甬矽电子,Other Optical/OSAT
688388.SH,嘉元科技,Copper Foil/Connect
688458.SH,美芯晟  ,Other Optical/OSAT
688498.SH,源杰科技,Optical/CPO
688519.SH,南亚新材,Other Optical/OSAT
688521.SH,芯原股份,Compute Chips
688525.SH,XD佰维存,Memory
688535.SH,华海诚科,Semi Materials
